1,Problematika Pendidikan Tinggi dan Pasar Kerja. (pendidikan),"Lebih dari satu juta mahasiswa, wisuda tiap tahunnya. Mahasiswa telah dihadapkan pada realitas baru, yaitu pasar kerja dengan peluang yang sangat sedikit. Hal ini sangat berdampak buruk bagi mahasiswa yang baru lulus atau Fresh Graduate dengan pengalaman yang minim, karena ini yang menambah tingkat pengangguran di Indonesia bertambah. Bahkan tidak sedikit mahasiswa yang sedang mencari kerja pada akhirnya tidak menggunakan pendidikannya yang selama ini ia tempuh. Banyak faktor yang menyebabkan pendidikan tidak terpakai setelah masuk di dunia kerja salah satunya karena peluang untuk masuk pekerjaan yang sesuai dengan pendidikan yang ditempuhnya sedikit. Ini menyebabkan banyak dari kita untuk benting setir. Apapun akan ditempuh untuk mencari nafkah di jaman sekarang. Realitas ini menimbulkan mubazirnya ilmu yang telah diperoleh sewaktu menempuh perguruan tinggi, bukan hanya ilmu, waktu maupun uang sepertinya telah terbuang sia-sia. Ini dapat menimbulkan prasangka pada masyarakat akan tidak pentingnya penjurusan pada perguruan tinggi. Pasalnya penjurusan tidaklah dapat menentukan masa depan sesuai dengan apa yang sudah direncanakan.Dampak yang paling merugikan yakni, akan menimbulkan semakin berkurangnya minat orang pada pendidikan tinggi dan menciptakan orang-orang yang tidak berkualitas. Meski jaman sudah berkembang dan lapangan kerja semakin banyak, masih belum cukup untuk menampung lulusan mahasiswa-mahasiswa yang tiap tahunnya yang terus meningkat. Persaingan perguruan tinggi pun menjadi suatu prestige tersendiri dikalangan masyarakat, pasalnya perguruan tinggi yang ditempuh akan mempengaruhi peluang masuknya seseorang dalam dunia kerja. Sehingga tiap tahunnya, akan ada banyak lulusan sekolah menegah atas yang bersaing untuk masuk perguruan tinggi unggulan tanpa melihat passion ( sesuai keinginan) yang dia miliiki. Yang terpenting masuk universitas unggulan. Mental seperti ini dapat menyebabkan angka mahasiswa mangkir, atau dapat menciptakan wisudawan yang tidak berkompeten di bidang ilmu yang digelutinya. Persepsi seperti ini patut dihilangkan dalam masyarakat. Kita bisa mencegahnya dari awal. Dari pengenalan passion yang dimiliki maupun keinginan untuk menjadi apa nantinya dari usia dini. Pembelajaran seperti ini yang sering dilupakan oleh banyak orang tua sekarang. Banyak orang tua yang terlambat untuk mengenalkan realitas kehidupan pada anak-anak tentang dunia yang akan mereka hadapi. Bahkan banyak orang tua yang tak mau ambil pusing dalam hal ini dan langsung menentukan masa depan sang anak tanpa memikirkan passionmaupun keinginan sang anak. Bukan juga, bila para orang tua membiarkan sang anak memilih jurusan studi, tetapi sebagai orang tua sebaiknya kita mengarahkan pada keinginan si anak dengan menghadapkannya pada realitas yang ada. "
2,Aliansi Mahasiswa Brebes Distribusikan Sumbangan ke Daerah Terdampak Banjir. (sosial),"BREBESNEWS.CO -Aliansi Mahasiswa Brebes (AMB) yang meliputi KPMDB Pusat, HMI Brebes, Aliansi BEM se-Kabupaten Brebes, adakan aksi penggalangan dana dan pendistribusian logistik kepada korban banjir. Bahan yang di distribusikan antaranya obat-obatan, makanan, alat kebersihan, perlengkapan bayi atau anak-anak, dan wanita. Alfian menyatakan, kegiatan yang dilakukan aliansi mahasiswa merupakan bentuk kontribusi dan kepedulian kami para mahasiswa terhadap korban banjir di Kabupaten Brebes. "
3,Tanggul Jebol Sungai Pemali di Terlangu Mulai Diperbaiki. (sosial),"BREBESNEWS.co � Jumat sore (17/2/2017), sejumlah tim gabungan yang terdiri dari Kodim 0713/Brebes, Polres Brebes, dan masyarakat bahu membahu membuat tanggul darurat ditanggul Sungai Pemali sepanjang 30 meter di antara wilayah Desa Terlangu, Kecamatan Brebes dan Lengkong, Kecamatan Wanasari. Penutupan tanggul dilakukan secara manual menggunakan kayu, bambu dan bantuan alat berat. Meskipun tidak bisa mengatasi kondisi secara total, upaya tersebut diharapkan bisa menghambat laju arus sungai pemali pada waktu tengah naik. Menurut Dandim Hadi dalam mengerjakan tanggul darurat, sedikitnya sekitar 200-an personel TNI-Polri dan masyarakat yang turun. Tanggul tersebut, di Dukuh Kemiri Desa Terlangu, sebelumnya jebol sepanjang 30 meter pada hari Kamis (16/2/2017) sekitar pukul 05.00 WIB. Luapan air sampai ke pemukiman warga sejumlah Desa diantaranya Desa Terlangu, Pemaron, Padasugih, Wangandalem, Pulosari dan Krasak, Kelurahan Gandasuli, Limbangan Kulon dan Limbangan Wetan Kecamatan Brebes. Sedang untuk Kecamatan Wanasari merendam Desa Lengkong. Hal tersebut karena Desa lengkong terletak di timur Sungai Pemali dan berdekatan dengan Desa Terlangu. Dalam banjir ini tida ada laporan korban jiwa. Namun akibat kejadian banjir bandang tersebut aktifitas perekonomian dan pendidikan masyarakat lumpuh beberapa saat. Untuk sementara siswa sekolah terdampak banjir terpaksa diliburkan kegiatan belajar mengajarnya. Ribuan rumah warga juga banyak yang terendam. Warga yang rumahnya terendam dievakuasi kesejumlah posko pengungsian."
4,"Akibat Banjir, Tercatat 20 SD Alami Kerusakan. (pendidikan)","BREBESNEWS.co � Bencana banjir yang melanda Kabupaten Brebes lima hari lalu, mengakibatkan fasilitas umum alami kerusakan. Berdasarkan catatan Dinas Kependidikan Brebes, ada skitar 20 Sekolah Dasar (SD) yang terkena dampak hingga merusakan sarana sekolah. �Dari data Dinas Pendidkana ada sebanyak 20 SD mengalami kerusakan cukup parah. Keruskan itu meliputi rusaknya gedung dan sarana sekolah seperti bangk-bangku dan buku-buka pelajar,� ujar Kepala Bidang Kelembagaan dan Sarana Prasarana Dinas Pendidkan Kabupaten Brebes, Adi Widiarso  saat ditemui di ruangan kerjanya, Senin (20/2/2017). �Demi kepedulian kemanusiaan Dinas pendidikan akan memberikan bantuan Buku,Sepatu dan seragam bagi siswa yang terkena dampak banjir,� imbuhnya. Adi mengaku,perbaikan sekolah yang rusak menjadi prioritas seperti SD Negeri Terlangu 2 yang menjadi ikon �Pray for Brebes�. Sekolah ini akan segera diperbaiki. �Kita secepatnya memperbaiki fasilitas yang rusak. Prioritas dianggaran perubahan. Sekarang yang mendesak adalah kebutuhan siswa seperti buku,sepatu dan seragam bersama bupati,� tutup Adi."
5,"Hanyut di Solokan Bumiayu, Rifaldo Ditemukan di Sungai Pemali Bantarkawung.","BREBESNEWS.co � Rifaldo anak usia 7 tahun, warga Dukuh Plajan RT 003 RW 006 Desa Langkap Kecamatan Bumiayu, ditemukan dalam keadaan tewas, setelah dilaporkan hanyut di solokan, atau aliran air di sekitar rumahnya, Kamis sore (16/2/2017) sekira pukul 16.30 WIB. Rifaldo ditemukan tewas di aliran Sungai Pemali, kurang lebih 10 km dari TKP masuk Desa Bantarwaru Kecamatan Bumiayu, Jumat sore(17/2/2017). Kapolres Brebes AKBP Luthfie Sulistiawan, mengatakan korban Rifaldo dilaporkan hanyut bermula saat dia bermain degan beberapa temannya di saluran air atau solokan seputar rumahnya. Karena cuaca sedang terjadi hujan, korban tidak menyadari arus solokan semakin deras, hingga mengkibatkan tubuhnya hanyut terbawa derasnya arus. Adanya kejadian itu, lanjut Kapolres, orang tua korban yang merasa kehilangan anaknya (Rifaldo-red) kemudian melapor ke pihak kepolisian Bumiayu. Hingga hari kedua pencarian Tim SAR dan warga beserta anggota polisi Bumiayu menyusuri tempat aliran solokan tempat bermain mandi hingga ke aliran Sungai Pemali. Setelah diadakan dua hari pencarian, baru sekitar Jumat pukul 15.00 WIB korban berhasil ditemukan di aliran sungai Pemali Desa Bantarwaru Kecamatan Bantarkawung."
6,"Diduga Tengkar dengan Suami, Ibu dan Anaknya Nekat Nyebur ke Sungai Pemali","BREBESNEWS.co � Diduga, akibat bertengkar dengan suaminya, seorang ibu dan anaknya nekat menceburkan diri ke sungai Pemali, Sabtu siang (4/2/2017), sekira pukul 14.00 WIB. Seorang ibu muda yang nekat menceburkan diri ke sungai Pemali, diketahui bernama Triayu Retnosari (21) dan anak balitanya Andin Ayudika 3 berusia tahun. Mereka adalah warga Desa Kupu Kecamatan Wanasari. Ditemui di lokasi, Kapolsek Wanasari AKP Wagito kepada BREBESNEWS.co menuturkan, berdasarkan keterangan saksi mata, mulanya Triayu bersama anaknya yang digendong, Andin naik sepeda motor Honda matic Vario bernomor polisi G 4486 IR, dan berhenti di pinggir sungai tepat di jembatan sungai Pemali. Melihat gelagat yang tidak baik, salah seseorang warga yang sempat melihat itu menegurnya, karena duduk di atas jembatan sungai sangat berbahaya. Setelah ada teguran, sang ibu dan anaknya berjalan lagi dengan motornya menuju pasar Pesantunan yang posisinya bersebelahan dengan benteng sungai Pemali. �Setelah dirasa sepi, kemungkinan korban yang saat itu menggendong anaknya, langsung nekat menceburkan diri,� ujar Wagito. Selanjutnya, kata Wagito, setelah kejadian itu, ada warga yang mengetahui motor Vario dengan tanpa penumpangnya di pinggir sungai. Warga tersebut kemudian melaporkan kejadian tersebut. Menurut Wagito, dugaan sementara korban merasa kesal setelah sempat bertengkar dengan suaminya bernama Andik Siswanto 23 tahun. Sementera itu, berdasarkan pantauan dilapangan, Tim SAR Brebes, beserta petugas kepolisian dan TNI hingga sore petang mencoba menyisir sungai mencari korban, namun hasilnya nihil."
7,Jalan Sering Makan Korban. 6 Warga Desa Kecamatan Ketanggungan Nglurug Bupati,"BREBESNEWS.CO -Sejumlah warga yang tergabung dalam Forum Masyarakat Ketanggungan Selatan Peduli Pembangunan(Formas KSPP) Audientsi ke Bupati Brebes menuntut perbaikan jalan di daerahnya. Mereka diterima Bupati Idza Priyanti SE, berikut Kapala Dinas Pekerjaan Umum dan Tata Ruang Kabupaten Brebes, Ir. Nushy Mansur. Menurut mereka kondisi jalan di wilayahnya cukup parah hingga kerap terjadi kecelakaan yang memakan korban jiwa.Warga yang berasal dari Desa Sindang Jaya,Ciseureuh,Jemasih,Pamedaran, Ciekeusal Lor an Cikeusal Kidul menilai Pemerintah Kabupaten Brebes terkesan lamban memperbaiki jalan di daerahnya. Menurut Kordinator Formas KSPP, Dastam Spd mengatakan Pihaknya bersama warga menuntut perbaikan jalan dan jembatan yang dalam kondisi cukup parah untuk segera di perbaiki. Menanggapi Hal tersebut Kepala PU dan TR, Nushy Mansur menjelaskan Perbaikan Jalan ketanggungan � Ciekeusal sekitar 5 km sudah di lelang. Namun, dalam Pelaksanaannya belum terealisasi."
8,2 Pelajar MTs di Tanjung Dilaporkan Hilang Terseret Arus Sungai. (serba-serbi),"BREBESNEWS.co � 2 Pelajar Madrasah Tsanawiyah (MTs) Tanjung, Al Buhkori Bayu bin Sukma (13) warga Desa Lemahabang Kecamatan Tanjung, dan Salman Al Farizi (13) Desa Bangsri Kecamatan Bulakamba, dilaporkan hilang tenggelam. Mereka dilaporkan hilang, terbawa arus sungai Kabuyutan Desa Sengon Tanjung, Rabu (25/1/2017) sekira pukul 10.00 WIB. Kronologi kejadian, yakni saat murid MTs Albukhori kelas VII, usai melaksanakan pelajaran olah raga berupa sepak bola di lapangan dekat sungai Kabuyutan. Oleh guru olahraganya, murid-murid yang usai melaksanakan sepak bola diperingatkan untuk tidak main di sungai. Namun peringatan guru itu tak di indahkan, malah mereka sejumlah 15 murid nekad mandi di sungai. Tak berapa lama tiba-tiba saja ada kabar dari seorang murid yang lapor kepada pihal sekolah, kalau ada dua anak dilaporkan hilang terseret arus. Mengetahui hal tersebut, pihak sekolah MTs Al Bukhori lapor ke pihak kepolisian Sektor Tanjung, yang di tindak lanjuti dengan pencarian. Menurut Ibnu, setelah pihaknya dapat laporan hilangnya dua anak didiknya, dia langsung melapor dan mencarinya di sekitar lokasi. Sementara berdasarkan pantauan, hingga berita ini di buat, kedua bocah siswa MTs itu masih dalam pencarian oleh warga beserta pihak kepolisian dan tim SAR Brebes. "
9,"Dua Sungai Besar di Brebes Meluap, 7 Kecamatan Alami Banjir. (serba-serbi)","BREBESNEWS.co � Hujan deras yang mengguyur Selasa malam, (3/1/2017) di wilayah Brebes selatan, menjadikan debit air sungai besar di Kabupaten Brebes, baik sungai Cisanggarung Losari dan sungai Pemali alami ketinggian diatas batas normal. Akibat kejadian itu beberapa desa di 7 Kecamatan kebanjiran akibat limpasan arus air sungai tersebut, Rabu paginya (4/1/2017). �Ketinggian Sungai Pemali juga sudah melebihi ambang batas, yakni 290 sentimeter. Padahal normalnya hanya 150 sentimeter dari tanggul sungai,� kata Kepala Badan Penanggulangan Bencana Daerah (BPBD) Brebes Eko Andalas saat menghadiri pelantikan pejabat ASN baru di Pendopo Kabupaten. Akibat limpasan arus sungai Pemali ini, kata Eko, setidaknya ada 3 kecamatan yang terdampak Banjir, yakni di beberapa desa di Kecamatan Jatibarang, Kecamatan Wanasari dan Kecamatan Brebes. Sedang meluapnya sungai Cisanggarung mengakibatkan Desa Bojongsari Kecamatan Losari juga terdampak banjir, yang disebabkan beberapa meter tanggul yang jebol. Selain itu, banjir juga menyerang daerah dari arus sungai Babakan Ketanggungan. Akibat limpasan ini, beberapa desa diseputar daerah aliran sungai (DAS) seperti Desa Ketanggungan Kecamatan Ketanggungan  Desa Pejagan, Desa Kemurang, Kecamatan Tanjung; Desa Sutamaja Kecamatan Kersana, serta Desa Cimohong Kecamatan Bulakamba."
10,Hampir 70 Prosen Jalan di Brebes Kondisinya Dilaporkan Rusak. (serba-serbi),"BREBESNEWS.CO � Ruas jalan Kabupaten Brebes rusak parah nyaris 70%. Hal ini seperti yang dinyatakan Celoteh Brebes Membangun (CBM) setelah menerima beberapa laporan dari masyarakat. Laporan yang masuk tentang jalan rusak antaranya di Jalan Banjaratma ke sitanggal.Siasem-Wanasari-Jagalempeni,Bulusari-Jubang,Sitanggal-Larangan,Rengas pendawa-Kedung bokor,Larangan-Pamulihan,Kamal-Baros-Buara-Cikesal lor,Dukubadag-Banjarharjo. Kerusakan jalan, tambah Ulum juga diperparah dengan adanya proyek Tol oleh PT.Waskita yang membawa tanah urugan dengan tonase yang berat, sehingga mempercepat kerusakan jalan, hingga meninggalkan kubangan lobang di tengah jalan. Bahrul Ulum berharap Pemda segera merespon keluhan masyarakat terkait jalan rusak yang sangat menganggu perekonomian warga setempat�Kami berharap pemda segera merespon keluhan masyarakat ini. Sementara itu,Bupati Brebes Idza Priyanti saat ditemui diruangannya mengatakan pihaknya tengah berupaya menanggulangi persoalan yang sangat mengganggu ekonomi rakyat itu. Pihaknya akan memetakan lokasi yang rusak parah dan perbaikan secara bertahap. �Kita berharap masyarakat Brebes Bersabar,kita tengah berupaya memperbaiki jalan yang rusak.kita baru baru tinjau 5 kecamatan,Brebes,wanasari ,Jatibarang,songgom dan larangan,� ungkap Idza."
11,Polres Brebes Bekuk 2 Pelaku Curanmor Ditempat Kost. (kriminal),"BREBESNEWS.CO �Reserse Mobil (Resmob) Polres Brebes menangkap 2 pelaku pencurian dan pemberatan. Kedua pelaku berhasil diamankan, 3 Oktober 2016 lalu, setelah melakukan aksinya menyatroni rumah salah satu penghuni kost di Kota Baru Brebes, dan berhasil membawa kabur motor serta barang milik korbannya. 2 pelaku yang sempat diamankan, antaranya Mohamad Rafi (21) warga Limbangan Kecamatan Brebes, dan Reza Nurfatoni (18) warga Desa Pesantunan Kecamatan Wanasari. Sedang korbannya yakni salah satu karyawati swasta atas nama Ria Munanjarsari (26), Dukuh Krajan RT 08 RW 02 Desa Kalierang Kecamatan Bumiayu. Kasatserse AKP Belnas Pali Padang dalam siaran persnya, Jumat 28/10/2016) menyatakan modus pelaku yakni dengan melewati jendela kamar kost yang kebetulan terbuka. Dari kejadian itu, korban yang sempat melapor ke pihak kepolisian menerangkan kerugian akibat pencurian itu, antaranya 1 unit sepeda motor Honda merk supra 125 tahun 2008, 2 HP, merk Iphone dan Samsung , uang serta kartu pengenal berikut ATM dari beberapa bank yang berada di tas miliknya. Dari pengembangan hasil penangkapan, polisi juga menyita beberapa barang milik pelaku hasil pencurian yang dilakukan di wilayah Tegal, seperti motor Jupiter tahun 2005 dan Jupiter tahun 2002, serta beberapa HP smart phone. "
