date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:58:07	3143/3143	---M-Z	200	added ('OK')	text/html	date:Mon,%2011%20Mar%202019%2014:59:00%20GMT	http://astradaihatsukebumen.id/gama	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/gama.html	(from )
21:58:08	557/557	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:01%20GMT	http://astradaihatsukebumen.id/robots.txt		(from )
21:58:11	121260/121260	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202017%2015:20:21%20GMT	http://astradaihatsukebumen.id/admin/css/bootstrap.min.css	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/css/bootstrap.min.css	(from http://astradaihatsukebumen.id/gama)
21:58:11	27466/27466	---M--	200	added ('OK')	text/css	date:Mon,%2014%20Aug%202017%2015:20:21%20GMT	http://astradaihatsukebumen.id/admin/css/font-awesome.min.css	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/css/font-awesome.min.css	(from http://astradaihatsukebumen.id/gama)
21:58:20	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2015:20:25%20GMT	http://astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.eot	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.eot	(from http://astradaihatsukebumen.id/admin/css/bootstrap.min.css)
21:58:21	36868/36868	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202017%2015:20:32%20GMT	http://astradaihatsukebumen.id/admin/js/bootstrap.min.js	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/js/bootstrap.min.js	(from http://astradaihatsukebumen.id/gama)
21:58:21	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2014%20Aug%202017%2015:20:25%20GMT	http://astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.eot?	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regulard41d.eot	(from http://astradaihatsukebumen.id/admin/css/bootstrap.min.css)
21:58:23	95785/95785	---M--	200	added ('OK')	application/javascript	date:Mon,%2014%20Aug%202017%2015:20:35%20GMT	http://astradaihatsukebumen.id/admin/js/jquery.js	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/js/jquery.js	(from http://astradaihatsukebumen.id/gama)
21:58:24	18028/18028	---M--	200	added ('OK')	font/woff2	date:Mon,%2014%20Aug%202017%2015:20:25%20GMT	http://astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.woff2	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.woff2	(from http://astradaihatsukebumen.id/admin/css/bootstrap.min.css)
21:58:24	108738/108738	---M--	200	added ('OK')	image/svg+xml	date:Mon,%2014%20Aug%202017%2015:20:23%20GMT	http://astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.svg	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.svg	(from http://astradaihatsukebumen.id/admin/css/bootstrap.min.css)
21:58:26	23424/23424	---M--	200	added ('OK')	font/woff	date:Mon,%2014%20Aug%202017%2015:20:25%20GMT	http://astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.woff	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.woff	(from http://astradaihatsukebumen.id/admin/css/bootstrap.min.css)
21:58:26	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:18%20GMT	http://astradaihatsukebumen.id/admin/fonts/fontawesome-webfont.eot?v=4.5.0	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/fontawesome-webfont3295.eot	(from http://astradaihatsukebumen.id/admin/css/font-awesome.min.css)
21:58:28	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:20%20GMT	http://astradaihatsukebumen.id/admin/fonts/fontawesome-webfont.eot?	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/fontawesome-webfontd41d.eot	(from http://astradaihatsukebumen.id/admin/css/font-awesome.min.css)
21:58:28	45404/45404	---M--	200	added ('OK')	font/ttf	date:Mon,%2014%20Aug%202017%2015:20:24%20GMT	http://astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.ttf	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/glyphicons-halflings-regular.ttf	(from http://astradaihatsukebumen.id/admin/css/bootstrap.min.css)
21:58:28	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:22%20GMT	http://astradaihatsukebumen.id/admin/fonts/fontawesome-webfont.woff2?v=4.5.0	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/fontawesome-webfont3295.woff2	(from http://astradaihatsukebumen.id/admin/css/font-awesome.min.css)
21:58:29	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:23%20GMT	http://astradaihatsukebumen.id/admin/fonts/fontawesome-webfont.woff?v=4.5.0	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/fontawesome-webfont3295.woff	(from http://astradaihatsukebumen.id/admin/css/font-awesome.min.css)
21:58:30	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:24%20GMT	http://astradaihatsukebumen.id/admin/fonts/fontawesome-webfont.ttf?v=4.5.0	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/fontawesome-webfont3295.ttf	(from http://astradaihatsukebumen.id/admin/css/font-awesome.min.css)
21:58:31	1130/1130	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2011%20Mar%202019%2014:59:25%20GMT	http://astradaihatsukebumen.id/admin/fonts/fontawesome-webfont.svg?v=4.5.0	/storage/emulated/0/HTTrack/Websites/diler/astradaihatsukebumen.id/admin/fonts/fontawesome-webfont3295.svg	(from http://astradaihatsukebumen.id/admin/css/font-awesome.min.css)
